;raceId;year;round;circuitId;name_x;date;resultId;driverId;constructorId;position;points;Pointsinday;laps;rank;fastestLapTime;fastestLapSpeed;driverRef;number_y;code;forename;surname;nationality;name_y;location;country;lat;lng
6;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24629;1;131;4;12;12;71;3;1:07.712;229.572;hamilton;44;HAM;Lewis;Hamilton;British;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
7;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24646;1;131;1;25;37;71;3;1:06.719;232.989;hamilton;44;HAM;Lewis;Hamilton;British;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
43;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24666;1;131;1;26;63;70;1;1:16.627;205.823;hamilton;44;HAM;Lewis;Hamilton;British;Hungaroring;Budapest;Hungary;47,5789;19,2486
66;1034;2020;4;9;British Grand Prix;2020-08-02;24686;1;131;1;25;88;52;3;1:29.238;237.652;hamilton;44;HAM;Lewis;Hamilton;British;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
67;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24707;1;131;2;19;107;52;1;1:28.451;239.766;hamilton;44;HAM;Lewis;Hamilton;British;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
103;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24726;1;131;1;25;132;66;2;1:19.822;209.942;hamilton;44;HAM;Lewis;Hamilton;British;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
123;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24746;1;131;1;25;157;44;2;1:47.758;233.990;hamilton;44;HAM;Lewis;Hamilton;British;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
143;1038;2020;8;14;Italian Grand Prix;2020-09-06;24772;1;131;7;7;164;53;1;1:22.746;252.033;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
163;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24786;1;131;1;26;190;59;1;1:18.833;239.518;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
183;1040;2020;10;71;Russian Grand Prix;2020-09-27;24808;1;131;3;15;205;53;7;1:38.075;214.660;hamilton;44;HAM;Lewis;Hamilton;British;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
203;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24826;1;131;1;25;230;60;2;1:28.145;210.253;hamilton;44;HAM;Lewis;Hamilton;British;Nürburgring;Nürburg;Germany;50,3356;6,9475
223;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24846;1;131;1;26;256;66;1;1:18.750;212.708;hamilton;44;HAM;Lewis;Hamilton;British;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
243;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24866;1;131;1;26;282;63;1;1:15.484;234.121;hamilton;44;HAM;Lewis;Hamilton;British;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
263;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24886;1;131;1;25;307;58;6;1:39.413;193.302;hamilton;44;HAM;Lewis;Hamilton;British;Istanbul Park;Istanbul;Turkey;40,9517;29,405
286;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24906;1;131;1;25;332;57;3;1:32.864;209.803;hamilton;44;HAM;Lewis;Hamilton;British;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
323;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24948;1;131;3;15;347;55;5;1:41.420;197.144;hamilton;44;HAM;Lewis;Hamilton;British;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
26;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24639;8;51;\N;0;0;53;12;1:09.031;225.185;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
27;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24656;8;51;11;0;0;70;14;1:08.382;227.322;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
53;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24680;8;51;15;0;0;69;17;1:20.889;194.978;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Hungaroring;Budapest;Hungary;47,5789;19,2486
84;1034;2020;4;9;British Grand Prix;2020-08-02;24702;8;51;17;0;0;51;11;1:29.973;235.710;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
85;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24720;8;51;15;0;0;51;18;1:31.756;231.130;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
113;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24739;8;51;14;0;0;65;7;1:21.888;204.645;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
133;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24757;8;51;12;0;0;44;14;1:49.822;229.593;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
153;1038;2020;8;14;Italian Grand Prix;2020-09-06;24778;8;51;13;0;0;53;13;1:24.835;245.827;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
173;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24794;8;51;9;2;2;59;6;1:21.164;232.640;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
193;1040;2020;10;71;Russian Grand Prix;2020-09-27;24819;8;51;14;0;2;52;10;1:38.858;212.960;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
213;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24837;8;51;12;0;2;60;9;1:30.512;204.755;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Nürburgring;Nürburg;Germany;50,3356;6,9475
233;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24856;8;51;11;0;2;65;15;1:21.058;206.652;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
253;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24874;8;51;9;2;4;63;10;1:18.088;226.313;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
273;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24900;8;51;15;0;4;57;9;1:39.743;192.663;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Istanbul Park;Istanbul;Turkey;40,9517;29,405
305;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24920;8;51;15;0;4;56;6;1:33.573;208.213;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
306;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24939;8;51;14;0;4;87;13;0:57.375;222.305;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
333;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24957;8;51;12;0;4;54;14;1:42.148;195.739;raikkonen;7;RAI;Kimi;Räikkönen;Finnish;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
18;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24635;20;6;10;1;1;71;8;1:08.623;226.524;vettel;5;VET;Sebastian;Vettel;German;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
19;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24665;20;6;\N;0;1;1;0;\N;\N;vettel;5;VET;Sebastian;Vettel;German;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
49;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24671;20;6;6;8;9;69;14;1:20.363;196.254;vettel;5;VET;Sebastian;Vettel;German;Hungaroring;Budapest;Hungary;47,5789;19,2486
76;1034;2020;4;9;British Grand Prix;2020-08-02;24695;20;6;10;1;10;52;15;1:30.537;234.242;vettel;5;VET;Sebastian;Vettel;German;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
77;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24717;20;6;12;0;10;52;13;1:30.785;233.602;vettel;5;VET;Sebastian;Vettel;German;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
109;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24732;20;6;7;6;16;65;18;1:22.707;202.618;vettel;5;VET;Sebastian;Vettel;German;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
129;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24758;20;6;13;0;16;44;16;1:49.958;229.309;vettel;5;VET;Sebastian;Vettel;German;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
149;1038;2020;8;14;Italian Grand Prix;2020-09-06;24785;20;6;\N;0;16;6;20;1:27.107;239.415;vettel;5;VET;Sebastian;Vettel;German;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
169;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24795;20;6;10;1;17;59;8;1:21.202;232.531;vettel;5;VET;Sebastian;Vettel;German;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
189;1040;2020;10;71;Russian Grand Prix;2020-09-27;24818;20;6;13;0;17;52;14;1:39.588;211.398;vettel;5;VET;Sebastian;Vettel;German;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
209;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24836;20;6;11;0;17;60;7;1:30.408;204.990;vettel;5;VET;Sebastian;Vettel;German;Nürburgring;Nürburg;Germany;50,3356;6,9475
229;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24855;20;6;10;1;18;65;10;1:20.731;207.489;vettel;5;VET;Sebastian;Vettel;German;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
249;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24877;20;6;12;0;18;63;7;1:17.767;227.248;vettel;5;VET;Sebastian;Vettel;German;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
269;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24888;20;6;3;15;33;58;8;1:39.662;192.819;vettel;5;VET;Sebastian;Vettel;German;Istanbul Park;Istanbul;Turkey;40,9517;29,405
297;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24918;20;6;13;0;33;56;11;1:33.861;207.575;vettel;5;VET;Sebastian;Vettel;German;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
298;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24937;20;6;12;0;33;87;5;0:56.905;224.141;vettel;5;VET;Sebastian;Vettel;German;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
329;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24959;20;6;14;0;33;54;6;1:41.475;197.037;vettel;5;VET;Sebastian;Vettel;German;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
30;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24641;154;210;\N;0;0;49;17;1:10.228;221.347;grosjean;8;GRO;Romain;Grosjean;French;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
31;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24658;154;210;13;0;0;70;12;1:08.047;228.442;grosjean;8;GRO;Romain;Grosjean;French;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
55;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24681;154;210;16;0;0;69;12;1:20.232;196.574;grosjean;8;GRO;Romain;Grosjean;French;Hungaroring;Budapest;Hungary;47,5789;19,2486
88;1034;2020;4;9;British Grand Prix;2020-08-02;24701;154;210;16;0;0;52;8;1:29.782;236.212;grosjean;8;GRO;Romain;Grosjean;French;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
89;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24721;154;210;16;0;0;51;14;1:30.793;233.581;grosjean;8;GRO;Romain;Grosjean;French;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
115;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24744;154;210;19;0;0;64;3;1:20.409;208.409;grosjean;8;GRO;Romain;Grosjean;French;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
135;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24760;154;210;15;0;0;44;17;1:50.018;229.184;grosjean;8;GRO;Romain;Grosjean;French;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
155;1038;2020;8;14;Italian Grand Prix;2020-09-06;24777;154;210;12;0;0;53;12;1:24.785;245.972;grosjean;8;GRO;Romain;Grosjean;French;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
175;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24797;154;210;12;0;0;59;13;1:22.263;229.532;grosjean;8;GRO;Romain;Grosjean;French;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
195;1040;2020;10;71;Russian Grand Prix;2020-09-27;24822;154;210;17;0;0;52;15;1:39.614;211.343;grosjean;8;GRO;Romain;Grosjean;French;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
215;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24834;154;210;9;2;2;60;14;1:31.562;202.407;grosjean;8;GRO;Romain;Grosjean;French;Nürburgring;Nürburg;Germany;50,3356;6,9475
235;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24862;154;210;17;0;2;65;17;1:21.664;205.118;grosjean;8;GRO;Romain;Grosjean;French;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
255;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24879;154;210;14;0;2;63;17;1:18.822;224.206;grosjean;8;GRO;Romain;Grosjean;French;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
275;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24903;154;210;\N;0;2;49;18;1:43.281;186.063;grosjean;8;GRO;Romain;Grosjean;French;Istanbul Park;Istanbul;Turkey;40,9517;29,405
309;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24925;154;210;\N;0;2;0;0;\N;\N;grosjean;8;GRO;Romain;Grosjean;French;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
98;1034;2020;4;9;British Grand Prix;2020-08-02;24705;807;211;\N;0;0;0;0;\N;\N;hulkenberg;27;HUL;Nico;Hülkenberg;German;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
99;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24712;807;211;7;6;6;52;6;1:30.087;235.412;hulkenberg;27;HUL;Nico;Hülkenberg;German;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
219;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24833;807;211;8;4;10;60;11;1:30.733;204.256;hulkenberg;27;HUL;Nico;Hülkenberg;German;Nürburgring;Nürburg;Germany;50,3356;6,9475
10;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24631;815;211;6;8;8;71;6;1:08.305;227.579;perez;11;PER;Sergio;Pérez;Mexican;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
11;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24651;815;211;6;8;16;71;4;1:07.188;231.362;perez;11;PER;Sergio;Pérez;Mexican;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
45;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24672;815;211;7;6;22;69;10;1:20.090;196.923;perez;11;PER;Sergio;Pérez;Mexican;Hungaroring;Budapest;Hungary;47,5789;19,2486
105;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24730;815;211;5;10;32;65;16;1:22.515;203.090;perez;11;PER;Sergio;Pérez;Mexican;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
125;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24755;815;211;10;1;33;44;9;1:48.389;232.628;perez;11;PER;Sergio;Pérez;Mexican;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
145;1038;2020;8;14;Italian Grand Prix;2020-09-06;24775;815;211;10;1;34;53;8;1:24.336;247.282;perez;11;PER;Sergio;Pérez;Mexican;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
165;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24790;815;211;5;10;44;59;5;1:20.632;234.175;perez;11;PER;Sergio;Pérez;Mexican;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
185;1040;2020;10;71;Russian Grand Prix;2020-09-27;24809;815;211;4;12;56;53;8;1:38.141;214.515;perez;11;PER;Sergio;Pérez;Mexican;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
205;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24829;815;211;4;12;68;60;4;1:29.700;206.608;perez;11;PER;Sergio;Pérez;Mexican;Nürburgring;Nürburg;Germany;50,3356;6,9475
225;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24852;815;211;7;6;74;65;11;1:20.802;207.306;perez;11;PER;Sergio;Pérez;Mexican;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
245;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24871;815;211;6;8;82;63;9;1:18.084;226.325;perez;11;PER;Sergio;Pérez;Mexican;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
265;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24887;815;211;2;18;100;58;12;1:40.392;191.417;perez;11;PER;Sergio;Pérez;Mexican;Istanbul Park;Istanbul;Turkey;40,9517;29,405
289;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24923;815;211;18;0;100;53;9;1:33.629;208.089;perez;11;PER;Sergio;Pérez;Mexican;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
290;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24926;815;211;1;25;125;87;3;0:56.789;224.599;perez;11;PER;Sergio;Pérez;Mexican;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
325;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24965;815;211;\N;0;125;8;19;1:43.263;193.625;perez;11;PER;Sergio;Pérez;Mexican;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
36;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24644;817;4;\N;0;0;17;19;1:10.610;220.150;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
37;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24653;817;4;8;4;4;71;9;1:07.832;229.166;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
58;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24673;817;4;8;4;8;69;7;1:19.532;198.305;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Hungaroring;Budapest;Hungary;47,5789;19,2486
94;1034;2020;4;9;British Grand Prix;2020-08-02;24689;817;4;4;12;20;52;5;1:29.482;237.004;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
95;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24719;817;4;14;0;20;51;16;1:31.168;232.621;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
118;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24736;817;4;11;0;20;65;14;1:22.464;203.215;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
138;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24749;817;4;4;13;33;44;1;1:47.483;234.589;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
158;1038;2020;8;14;Italian Grand Prix;2020-09-06;24771;817;4;6;8;41;53;4;1:23.898;248.573;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
178;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24789;817;4;4;12;53;59;4;1:20.426;234.774;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
198;1040;2020;10;71;Russian Grand Prix;2020-09-27;24810;817;4;5;10;63;53;6;1:37.886;215.074;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
217;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24828;817;4;3;15;78;60;3;1:29.584;206.876;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Nürburgring;Nürburg;Germany;50,3356;6,9475
238;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24854;817;4;9;2;80;65;14;1:20.906;207.040;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
258;1043;2020;13;21;Emilia Romagna Grand Prix;2020-11-01;24868;817;4;3;15;95;63;4;1:17.552;227.878;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Autodromo Enzo e Dino Ferrari;Imola;Italy;44,3439;11,7167
278;1044;2020;14;5;Turkish Grand Prix;2020-11-15;24895;817;4;10;1;96;58;13;1:40.677;190.875;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Istanbul Park;Istanbul;Turkey;40,9517;29,405
314;1045;2020;15;3;Bahrain Grand Prix;2020-11-29;24912;817;4;7;6;102;57;2;1:32.827;209.887;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
315;1046;2020;16;3;Sakhir Grand Prix;2020-12-06;24930;817;4;5;10;112;87;6;0:56.979;223.850;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Bahrain International Circuit;Sakhir;Bahrain;26,0325;50,5106
337;1047;2020;17;24;Abu Dhabi Grand Prix;2020-12-13;24952;817;4;7;7;119;55;1;1:40.926;198.109;ricciardo;3;RIC;Daniel;Ricciardo;Australian;Yas Marina Circuit;Abu Dhabi;UAE;24,4672;54,6031
0;1031;2020;1;70;Austrian Grand Prix;2020-07-05;24626;822;131;1;25;25;71;2;1:07.657;229.758;bottas;77;BOT;Valtteri;Bottas;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
1;1032;2020;2;70;Styrian Grand Prix;2020-07-12;24647;822;131;2;18;43;71;7;1:07.534;230.177;bottas;77;BOT;Valtteri;Bottas;Finnish;Red Bull Ring;Spielburg;Austria;47,2197;14,7647
40;1033;2020;3;11;Hungarian Grand Prix;2020-07-19;24668;822;131;3;15;58;70;2;1:17.665;203.072;bottas;77;BOT;Valtteri;Bottas;Finnish;Hungaroring;Budapest;Hungary;47,5789;19,2486
60;1034;2020;4;9;British Grand Prix;2020-08-02;24696;822;131;11;0;58;52;4;1:29.265;237.580;bottas;77;BOT;Valtteri;Bottas;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
61;1035;2020;5;9;70th Anniversary Grand Prix;2020-08-09;24708;822;131;3;15;73;52;4;1:29.765;236.256;bottas;77;BOT;Valtteri;Bottas;Finnish;Silverstone Circuit;Silverstone;UK;52,0786;-1,01694
100;1036;2020;6;4;Spanish Grand Prix;2020-08-16;24728;822;131;3;16;89;66;1;1:18.183;214.343;bottas;77;BOT;Valtteri;Bottas;Finnish;Circuit de Barcelona-Catalunya;Montmeló;Spain;41,57;2,26111
120;1037;2020;7;13;Belgian Grand Prix;2020-08-30;24747;822;131;2;18;107;44;5;1:47.983;233.503;bottas;77;BOT;Valtteri;Bottas;Finnish;Circuit de Spa-Francorchamps;Spa;Belgium;50,4372;5,97139
140;1038;2020;8;14;Italian Grand Prix;2020-09-06;24770;822;131;5;10;117;53;5;1:23.961;248.386;bottas;77;BOT;Valtteri;Bottas;Finnish;Autodromo Nazionale di Monza;Monza;Italy;45,6156;9,28111
160;1039;2020;9;76;Tuscan Grand Prix;2020-09-13;24787;822;131;2;18;135;59;2;1:19.432;237.712;bottas;77;BOT;Valtteri;Bottas;Finnish;Autodromo Internazionale del Mugello;Mugello;Italy;43,9975;11,3719
180;1040;2020;10;71;Russian Grand Prix;2020-09-27;24806;822;131;1;26;161;53;1;1:37.030;216.972;bottas;77;BOT;Valtteri;Bottas;Finnish;Sochi Autodrom;Sochi;Russia;43,4057;39,9578
200;1041;2020;11;20;Eifel Grand Prix;2020-10-11;24844;822;131;\N;0;161;18;15;1:31.884;201.697;bottas;77;BOT;Valtteri;Bottas;Finnish;Nürburgring;Nürburg;Germany;50,3356;6,9475
220;1042;2020;12;75;Portuguese Grand Prix;2020-10-25;24847;822;131;2;18;179;66;2;1:19.345;211.113;bottas;77;BOT;Valtteri;Bottas;Finnish;Autódromo Internacional do Algarve;Portimão;Portugal;37,227;-8,6267
